question,answers
what does  Food and Drug Administration (FDA) focuses on.,FDA focuses on both fresh and processed food products
what  is the role of Center for Disease Control(CDC). ,"to prevent �illness, disability and death due to domestic and imported foodborne diseases"
Give one example of  natural erosion caused by water.,Grand Canyon
how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
which kind of GM varieties release protein to control pest.,bacterium Bacillus thuringiensis
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
what is isolation.,"A minimum separation distance required in a seed multiplication field in order to prevent
contamination by physical mixtures or disease vectors"
what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
"what is volunteer plant
","A plant, which usually comes up from seed (root or cutting) left on/in the ground
from a previous crop"
define what a seed class is?,"The categorization of seed according to genetic purity and quality standards. The seed
classes adopted in these guidelines are Nuclear stock, Basic seed, Certified 1, Certified 2 and QDS."
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
what does Agriculture encompasses.,"crop and livestock production, aquaculture, fisheries and forestry for food and non-food products"
The major agricultural products can be broadly grouped into ?,"foods, fibers, fuels, and raw materials (such as rubber)"
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what is the approximate Global agricultural production of food.,11 billion tonnes
what is the approximate Global agricultural production,32 million tonnes of natural fibres
what is the approximate amount of Global agricultural production of wood.,4 billion
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
what are some of the high risk of work-related hazards that can affect farmers.,"injuries, lung disease, noise-induced hearing loss, skin diseases, as well as certain cancers related to chemical use and prolonged sun exposure"
what is common cause of fatal agricultural injuries in developed countries., tractor rollovers
what are the common causes of fatal injuries among young farm workers.,"drowning, machinery and motor accidents, including with all-terrain vehicles."
which population is vulnerable  in agriculture.,Ages 0�6
which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,agriculture 
