question,answers,topic
What symptoms are exhibited by citrus trees affected by Greening?,"Citrus trees affected by Greening exhibit a variety of symptoms, including stunted leaves, sparse foliation, twig dieback, and predominantly green, worthless fruits. Additionally, symptoms may include foliar chlorosis, mottling resembling zinc deficiency, leathery young leaves with prominent veins and a dull olive green color, circular green dots on leaves, upright twigs producing smaller leaves, and small, lopsided fruits with curved columella and one side developing full orange color while the other remains dull olive green. These fruits may also be low in juice and soluble solids, high in acid, and have poorly developed, dark-colored, and aborted seeds.",crops
why should  cassava be processed or sold quickly after harvesting.," to prevent spoilage and maintain quality.
",crops
how do we call the cover crops that increases soil fertility.,green manure,crops
"During  Food Supply Continuum, what processes are included inside pre-harvest phase.","the producer or farmer, transportation of the product, and marketing of the product",crops
what is Seed dormancy?," is a natural mechanism that prevents a seed from germinating under unfavorable conditions, such as inadequate moisture, unsuitable temperature, or insufficient light",crops
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance",crops
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions.",crops
What spacing is recommended for cassava planting?,"The recommended spacing for cassava planting can vary depending on several factors, including the variety of cassava, soil fertility, and intended use of the crop. However, a common spacing for cassava is between 1 meter to 1.5 meters between rows and 0.8 meters to 1 meter between plants within a row.",crops
How is intercropping helpful in cassava production.,This helps to maximize land use and improve soil fertility,crops
how is stake planting done?,"In stake planting, cassava stems are first planted in a nursery bed and allowed to develop roots before being transplanted to the main field",crops
What are the advantages of using dwarfing rootstocks in citrus orchards?,"Dwarfing rootstocks offer several advantages in citrus orchards, including reduced tree size, improved yield efficiency, easier harvesting, and enhanced disease resistance.",crops
Which type of seed is resistant to pests and diseases,"Hybrid seeds: Hybrid seeds are produced by cross-breeding two or more distinct plant varieties to create a new variety with desirable traits, such as disease and pest resistance.

Genetically modified (GM) seeds: GM seeds have been genetically altered to express certain traits, such as resistance to specific pests or diseases. For example, Bt (Bacillus thuringiensis) maize has been genetically modified to produce a protein toxic to certain insect pests.

Heirloom or heritage seeds: Heirloom or heritage seeds are non-hybrid seeds that have been passed down from generation to generation, often for centuries. These seeds have developed natural resistance to local pests and diseases over time.

Open-pollinated seeds: Open-pollinated seeds are non-hybrid seeds that have been pollinated by natural means, such as wind or insects. These seeds can be genetically diverse and may exhibit natural resistance to pests and diseases.",crops
